brand,model,price,year,region,transmission,fuel type,engine capacity,mileage,link
Volkswagen,Passat B8 ComfortLine,17 900,2016,Луцьк,Ручна/Механіка, Дизель, 2 л. , 172 тис. км ,https://auto.ria.com/uk/auto_volkswagen_passat_b8_31948454.html
Volkswagen,Passat B8 4motion,24 400,2015,Львів,Автомат, Дизель, 2 л. , 187 тис. км ,https://auto.ria.com/uk/auto_volkswagen_passat_b8_31946373.html
Skoda,Fabia,3 900,2006,Київ,Ручна/Механіка, Газ / Бензин, 1.2 л. , 380 тис. км ,https://auto.ria.com/uk/auto_skoda_fabia_31907658.html
Jeep,Compass,12 900,2016,Баришівка,Автомат, Бензин, 2.4 л. , 88 тис. км ,https://auto.ria.com/uk/auto_jeep_compass_31935917.html
Hyundai,Santa FE,20 800,2017,Миколаїв,Автомат, Бензин, 2.4 л. , 31 тис. км ,https://auto.ria.com/uk/auto_hyundai_santa_fe_31925132.html
Hyundai,Tucson GLS,8 500,2008,Київ,Ручна/Механіка, Бензин, 2 л. , 315 тис. км ,https://auto.ria.com/uk/auto_hyundai_tucson_31951130.html
Skoda,Superb,6 000,2003,Ужгород,Ручна/Механіка, Дизель, 1.9 л. , 240 тис. км ,https://auto.ria.com/uk/auto_skoda_superb_31946152.html
Mercedes-Benz,S 63 AMG,160 000,2018,Київ,Автомат, Бензин, 4 л. , 57 тис. км ,https://auto.ria.com/uk/auto_mercedes_benz_s_63_amg_31934648.html
Volkswagen,Touareg 3.0 TDI,75 500,2018,Житомир,Автомат, Дизель, 3 л. , 48 тис. км ,https://auto.ria.com/uk/auto_volkswagen_touareg_31749958.html
Jeep,Compass,22 500,2017,Київ,Автомат, Бензин, 2.4 л. , 104 тис. км ,https://auto.ria.com/uk/auto_jeep_compass_31852355.html
Hyundai,Tucson,22 900,2016,Одеса,Робот, Бензин, 1.6 л. , 80 тис. км ,https://auto.ria.com/uk/auto_hyundai_tucson_31944224.html
BMW,X5 Performance,40 500,2016,Дніпро,Автомат, Бензин, 3 л. , 93 тис. км ,https://auto.ria.com/uk/auto_bmw_x5_31941732.html
Porsche,Cayenne GTS,19 000,2008,Одеса,Типтронік, Бензин, 4.8 л. , 155 тис. км ,https://auto.ria.com/uk/auto_porsche_cayenne_31405891.html
Kia,Sorento EX,20 498,2016,Київ,Автомат, Бензин, 3.3 л. , 107 тис. км ,https://auto.ria.com/uk/auto_kia_sorento_31920796.html
Toyota,Camry,4 750,1996,Одеса,Автомат, Газ / Бензин, 2.2 л. , 30 тис. км ,https://auto.ria.com/uk/auto_toyota_camry_31881435.html
Volkswagen,Touareg,74 999,2018,Київ,Автомат, Дизель, 3 л. , 47 тис. км ,https://auto.ria.com/uk/auto_volkswagen_touareg_31789115.html
BMW,X6 50i,25 000,2008,Дніпро,Автомат, Бензин, 4.4 л. , 166 тис. км ,https://auto.ria.com/uk/auto_bmw_x6_31780196.html
Mercedes-Benz,GL 550,18 500,2008,Житомир,Автомат, Газ / Бензин, 5.5 л. , 240 тис. км ,https://auto.ria.com/uk/auto_mercedes_benz_gl_550_31952991.html
Audi,A6,20 000,2014,Дніпро,Автомат, Бензин, 3 л. , 160 тис. км ,https://auto.ria.com/uk/auto_audi_a6_31908135.html
BMW,X6,44 990,2016,Трускавець,Автомат, Бензин, 3 л. , 114 тис. км ,https://auto.ria.com/uk/auto_bmw_x6_31902947.html
Hyundai,Sonata Limited,16 373,2017,Київ,Автомат, Бензин, 2.4 л. , 38 тис. км ,https://auto.ria.com/uk/auto_hyundai_sonata_31669547.html
Volkswagen,Passat B6,6 800,2008,Ковель,Ручна/Механіка, Бензин, 2 л. , 236 тис. км ,https://auto.ria.com/uk/auto_volkswagen_passat_b6_31826389.html
Volkswagen,Jetta SE,9 400,2014,Житомир,Автомат, Бензин, 1.8 л. , 170 тис. км ,https://auto.ria.com/uk/auto_volkswagen_jetta_29671450.html
Land,Rover Range Rover,19 999,2007,Львів,Автомат, Бензин, 4.2 л. , 221 тис. км ,https://auto.ria.com/uk/auto_land_rover_range_rover_31618336.html
Volkswagen,Passat B6 Highline,8 790,2007,Стрий,Ручна/Механіка, Дизель, 2 л. , 227 тис. км ,https://auto.ria.com/uk/auto_volkswagen_passat_b6_31808469.html
BMW,X5 M,50 100,2017,Умань,Автомат, Дизель, 3 л. , 149 тис. км ,https://auto.ria.com/uk/auto_bmw_x5_31163066.html
Ford,Focus,5 600,2007,Буча,Ручна/Механіка, Бензин, 1.8 л. , 284 тис. км ,https://auto.ria.com/uk/auto_ford_focus_31700945.html
Volkswagen,Passat B6,7 500,2009,Київ,Автомат, Газ / Бензин, 1.4 л. , 213 тис. км ,https://auto.ria.com/uk/auto_volkswagen_passat_b6_31950547.html
Volkswagen,Passat B6,9 500,2010,Київ,Автомат, Бензин, 1.8 л. , 183 тис. км ,https://auto.ria.com/uk/auto_volkswagen_passat_b6_31906306.html
Audi,A3,19 999,2015,Київ,Типтронік, Дизель, 1.6 л. , 54 тис. км ,https://auto.ria.com/uk/auto_audi_a3_31929992.html
BMW,330,25 000,2016,Київ,Невказано, Бензин, 2 л. , 61 тис. км ,https://auto.ria.com/uk/auto_bmw_330_31941572.html
Renault,Megane PRIVILEGE,9 300,2015,Київ,Ручна/Механіка, Дизель, 1.5 л. , 201 тис. км ,https://auto.ria.com/uk/auto_renault_megane_31888280.html
Audi,A6,34 800,2015,Одеса,Автомат, Дизель, 2 л. , 96 тис. км ,https://auto.ria.com/uk/auto_audi_a6_31651391.html
Mercedes-Benz,S 63 AMG,219 900,2018,Київ,Невказано, Бензин, 4 л. , 28 тис. км ,https://auto.ria.com/uk/auto_mercedes_benz_s_63_amg_31929097.html
Ford,Fusion SE,13 200,2016,Київ,Автомат, Бензин, 2.5 л. , 31 тис. км ,https://auto.ria.com/uk/auto_ford_fusion_31912445.html
Mercedes-Benz,E 220 Avangard,14 600,2011,Київ,Автомат, Дизель, 2.1 л. , 301 тис. км ,https://auto.ria.com/uk/auto_mercedes_benz_e_220_27298343.html
BMW,X6,19 900,2010,Київ,Автомат, Бензин, 3 л. , 131 тис. км ,https://auto.ria.com/uk/auto_bmw_x6_31829329.html
BMW,X6,19 900,2010,Київ,Автомат, Бензин, 3 л. , 131 тис. км ,https://auto.ria.com/uk/auto_bmw_x6_31829329.html
BMW,X5,44 900,2016,Київ,Автомат, Бензин, 3 л. , 52 тис. км ,https://auto.ria.com/uk/auto_bmw_x5_31066529.html
Audi,A3 Premium plus,18 000,2015,Київ,Робот, Бензин, 2 л. , 81 тис. км ,https://auto.ria.com/uk/auto_audi_a3_31806019.html
Toyota,RAV4,6 700,2003,Одеса,Автомат, Бензин, 2 л. , 190 тис. км ,https://auto.ria.com/uk/auto_toyota_rav4_31883936.html
Renault,Megane,6 999,2011,Рівне,Ручна/Механіка, Дизель, 1.5 л. , 191 тис. км ,https://auto.ria.com/uk/auto_renault_megane_31952695.html
Audi,A8 A8L,27 000,2011,Київ,Типтронік, Бензин, 4.2 л. , 176 тис. км ,https://auto.ria.com/uk/auto_audi_a8_31833993.html
Opel,Astra H,4 950,2006,Мостиська,Ручна/Механіка, Бензин, 1.6 л. , 196 тис. км ,https://auto.ria.com/uk/auto_opel_astra_h_31947568.html
Nissan,Leaf S,18 999,2019,Одеса,Автомат, Електро , Електро , 68 тис. км ,https://auto.ria.com/uk/auto_nissan_leaf_31713051.html
BMW,330,7 999,2002,Івано-Франківськ,Невказано, Дизель, 2.9 л. , 320 тис. км ,https://auto.ria.com/uk/auto_bmw_330_31946070.html
Hyundai,Sonata,15 200,2016,Харків,Автомат, Газ, 2 л. , 160 тис. км ,https://auto.ria.com/uk/auto_hyundai_sonata_31943944.html
Nissan,Rogue,15 300,2016,Київ,Невказано, Бензин, 2.5 л. , 80 тис. км ,https://auto.ria.com/uk/auto_nissan_rogue_31933062.html
Porsche,Cayenne GTS,19 500,2008,Одеса,Автомат, Бензин, 4.8 л. , 90 тис. км ,https://auto.ria.com/uk/auto_porsche_cayenne_31760083.html
Volkswagen,CC,10 500,2014,Харків,Автомат, Бензин, 2 л. , 150 тис. км ,https://auto.ria.com/uk/auto_volkswagen_cc_31929493.html
Skoda,Octavia A5 CLIMA.,9 350,2010,Львів,Ручна/Механіка, Газ / Бензин, 1.6 л. , 192 тис. км ,https://auto.ria.com/uk/auto_skoda_octavia_a5_31929395.html
BMW,X5 M,77 500,2019,Одеса,Автомат, Бензин, 3 л. , 35 тис. км ,https://auto.ria.com/uk/auto_bmw_x5_31782824.html
Mercedes-Benz,GLS 400 AMG,116 000,2021,Київ,Автомат, Дизель, 2.9 л. , 2 тис. км ,https://auto.ria.com/uk/auto_mercedes_benz_gls_400_31910097.html
Hyundai,Tucson Limited,13 500,2011,Одеса,Автомат, Бензин, 2.4 л. , 179 тис. км ,https://auto.ria.com/uk/auto_hyundai_tucson_31887888.html
Renault,Megane,9 300,2013,Рівне,Ручна/Механіка, Дизель, 1.5 л. , 217 тис. км ,https://auto.ria.com/uk/auto_renault_megane_31729547.html
BMW,328,13 800,2012,Київ,Автомат, Бензин, 2 л. , 115 тис. км ,https://auto.ria.com/uk/auto_bmw_328_30978813.html
Toyota,RAV4,35 000,2019,Київ,Невказано, Бензин, 2.5 л. , 18 тис. км ,https://auto.ria.com/uk/auto_toyota_rav4_31821917.html
Mercedes-Benz,E-Class 220d 9G-Tronic (194 л.с.) 4Matic,71 071,2021,Дніпро,Автомат, Дизель, 2.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mercedes-benz-e-class-1860454.html
Mercedes-Benz,S-Class 500 9G-Tronic (435 л.с.) Long 4Matic,204 903,2021,Київ,Автомат, Бензин, 3.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mercedes-benz-s-class-1865505.html
Mitsubishi,Outlander 2.0 CVT (145 л.с.) 2WD,26 043,2021,Дніпро,Варіатор, Бензин, 2.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mitsubishi-outlander-1879045.html
Mercedes-Benz,GLS 400 AMG,118 000,2021,Київ,Автомат, Дизель, 2.9 л. , 1 тис. км ,https://auto.ria.com/uk/auto_mercedes_benz_gls_400_31523364.html
Volkswagen,Golf V 1.4,8 200,2008,Хмельницький,Автомат, Бензин, 1.4 л. , 204 тис. км ,https://auto.ria.com/uk/auto_volkswagen_golf_v_31951937.html
Renault,Megane BOSE,15 600,2016,Луцьк,Автомат, Дизель, 1.5 л. , 93 тис. км ,https://auto.ria.com/uk/auto_renault_megane_31950639.html
Skoda,Octavia A7,11 999,2014,Стрий,Автомат, Дизель, 2 л. , 279 тис. км ,https://auto.ria.com/uk/auto_skoda_octavia_a7_31947853.html
Mitsubishi,Outlander Limited edition,17 500,2017,Дніпро,Автомат, Газ / Бензин, 2.4 л. , 55 тис. км ,https://auto.ria.com/uk/auto_mitsubishi_outlander_31654016.html
Renault,Kangoo пасс.,12 999,2014,Київ,Ручна/Механіка, Дизель, 1.5 л. , 99 тис. км ,https://auto.ria.com/uk/auto_renault_kangoo_pass_31919348.html
Renault,Megane GTline Bose,9 800,2012,Одеса,Ручна/Механіка, Дизель, 1.5 л. , 189 тис. км ,https://auto.ria.com/uk/auto_renault_megane_31914316.html
Skoda,Octavia A5,8 950,2007,Броди,Автомат, Дизель, 2 л. , 209 тис. км ,https://auto.ria.com/uk/auto_skoda_octavia_a5_31793828.html
Mercedes-Benz,G 63 AMG,215 000,2019,Київ,Автомат, Бензин, 4 л. , 57 тис. км ,https://auto.ria.com/uk/auto_mercedes_benz_g_63_amg_31779633.html
Ford,Edge TITANIUM,23 900,2018,Дніпро,Автомат, Бензин, 3.5 л. , 80 тис. км ,https://auto.ria.com/uk/auto_ford_edge_30724017.html
Citroen,C-Elysee New 1.6HDi MT (92 л.с.),17 477,2021,Київ,Механічна, Дизель, 1.6 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-citroen-c-elysee-1879409.html
Renault,Grand Scenic,5 750,2007,Рівне,Ручна/Механіка, Бензин, 1.6 л. , 131 тис. км ,https://auto.ria.com/uk/auto_renault_grand_scenic_31952798.html
Honda,CR-V,9 200,2002,Муровані Курилівці,Ручна/Механіка, Газ / Бензин, 2 л. , 185 тис. км ,https://auto.ria.com/uk/auto_honda_cr_v_31952299.html
BMW,320,2 800,1987,Рівне,Ручна/Механіка, Бензин, 2.5 л. , 200 тис. км ,https://auto.ria.com/uk/auto_bmw_320_31752624.html
Volkswagen,Tiguan R LINE,32 199,2017,Вінниця,Автомат, Дизель, 2 л. , 145 тис. км ,https://auto.ria.com/uk/auto_volkswagen_tiguan_31238870.html
Mercedes-Benz,G 63 AMG Mercedes-AMG G63 G-Ttonic (585 л.с.) 4Matic,269 789,2022,Київ,Автомат, Бензин, 4.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mercedes-benz-g-class-1873259.html
BMW,X5 M30d,96 800,2019,Київ,Автомат, Дизель, 3 л. , 40 тис. км ,https://auto.ria.com/uk/auto_bmw_x5_31898041.html
Volkswagen,Golf VII,14 600,2017,Київ,Автомат, Бензин, 1.4 л. , 126 тис. км ,https://auto.ria.com/uk/auto_volkswagen_golf_vii_31879426.html
Tesla,Model 3 LR DM,45 750,2019,Херсон,Автомат, Електро , Електро , 19 тис. км ,https://auto.ria.com/uk/auto_tesla_model_3_31848480.html
BMW,520,54 000,2021,Київ,Автомат, Бензин, 2 л. , 14 тис. км ,https://auto.ria.com/uk/auto_bmw_520_31817007.html
Audi,A6,19 800,2011,Рівне,Типтронік, Бензин, 2.8 л. , 240 тис. км ,https://auto.ria.com/uk/auto_audi_a6_30621205.html
Ford,Escape ST line,14 999,2017,Рівне,Автомат, Бензин , Бензин , 86 тис. км ,https://auto.ria.com/uk/auto_ford_escape_31076366.html
Opel,Zafira,6 590,2008,Стрий,Ручна/Механіка, Дизель, 1.7 л. , 195 тис. км ,https://auto.ria.com/uk/auto_opel_zafira_31953601.html
Mercedes-Benz,CLC 200 200 AT (197 л.с.) 4Matic,67 518,2021,Одеса,Автомат, Бензин, 2.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mercedes-benz-glc-class-1876983.html
Volkswagen,Passat B7,16 400,2018,Київ,Автомат, Бензин, 2 л. , 32 тис. км ,https://auto.ria.com/uk/auto_volkswagen_passat_b7_31607421.html
BMW,535,22 000,2012,Васильків,Невказано, Бензин, 3 л. , 124 тис. км ,https://auto.ria.com/uk/auto_bmw_535_31952194.html
Opel,Zafira Cosmo,7 999,2010,Рівне,Ручна/Механіка, Дизель, 1.7 л. , 202 тис. км ,https://auto.ria.com/uk/auto_opel_zafira_31951670.html
Mazda,323,3 700,1995,Київ,Автомат, Бензин, 1.8 л. , 140 тис. км ,https://auto.ria.com/uk/auto_mazda_323_31951610.html
Audi,Q5 50dSline,50 900,2018,Київ,Автомат, Дизель, 3 л. , 141 тис. км ,https://auto.ria.com/uk/auto_audi_q5_31816615.html
Mitsubishi,Outlander,14 500,2017,Херсон,Варіатор, Газ / Бензин, 2.4 л. , 166 тис. км ,https://auto.ria.com/uk/auto_mitsubishi_outlander_31950417.html
Ford,Focus Titanium,10 999,2016,Одеса,Ручна/Механіка, Дизель, 1.5 л. , 196 тис. км ,https://auto.ria.com/uk/auto_ford_focus_31948308.html
Nissan,Pathfinder,16 500,2015,Кропивницький,Варіатор, Газ / Бензин, 3.5 л. , 95 тис. км ,https://auto.ria.com/uk/auto_nissan_pathfinder_31484438.html
Audi,Q7 S Line,62 999,2017,Київ,Автомат, Дизель, 3 л. , 79 тис. км ,https://auto.ria.com/uk/auto_audi_q7_31786416.html
Volkswagen,Touareg R Line Black,78 888,2019,Київ,Автомат, Дизель, 3 л. , 42 тис. км ,https://auto.ria.com/uk/auto_volkswagen_touareg_31888067.html
Volkswagen,Tiguan,12 799,2013,Васильків,Автомат, Бензин, 2 л. , 117 тис. км ,https://auto.ria.com/uk/auto_volkswagen_tiguan_31944423.html
BMW,328,14 000,2012,Київ,Автомат, Бензин, 2 л. , 194 тис. км ,https://auto.ria.com/uk/auto_bmw_328_31942874.html
Opel,Zafira CDTI,7 500,2008,Суми,Автомат, Дизель, 1.9 л. , 194 тис. км ,https://auto.ria.com/uk/auto_opel_zafira_31942024.html
Volkswagen,Tiguan,32 900,2018,Київ,Автомат, Дизель, 2 л. , 130 тис. км ,https://auto.ria.com/uk/auto_volkswagen_tiguan_31940914.html
Hyundai,Sonata SPORT,16 800,2017,Київ,Автомат, Бензин, 2.4 л. , 76 тис. км ,https://auto.ria.com/uk/auto_hyundai_sonata_31742438.html
Volkswagen,Golf IV,4 600,1999,Львів,Ручна/Механіка, Газ / Бензин, 1.6 л. , 270 тис. км ,https://auto.ria.com/uk/auto_volkswagen_golf_iv_31889402.html
Volkswagen,Passat B8,26 000,2020,Запоріжжя,Автомат, 2 л. , 2 л. , 38 тис. км ,https://auto.ria.com/uk/auto_volkswagen_passat_b8_31937042.html
Toyota,RAV4,10 000,2006,Дніпро,Автомат, Газ / Бензин, 2.4 л. , 190 тис. км ,https://auto.ria.com/uk/auto_toyota_rav4_31936929.html
Jaguar,E-Pace,41 700,2018,Чернівці,Автомат, Дизель, 2 л. , 59 тис. км ,https://auto.ria.com/uk/auto_jaguar_e_pace_31019273.html
Toyota,Camry,16 200,2013,Южне,Невказано, Бензин, 2.5 л. , 210 тис. км ,https://auto.ria.com/uk/auto_toyota_camry_31923627.html
Audi,A6,22 000,2014,Житомир,Автомат, Бензин, 3 л. , 71 тис. км ,https://auto.ria.com/uk/auto_audi_a6_31923445.html
Ford,Focus SE,8 300,2014,Бровари,Автомат, Бензин, 2 л. , 145 тис. км ,https://auto.ria.com/uk/auto_ford_focus_31919229.html
Audi,Q5,30 500,2013,Київ,Невказано, Дизель, 2 л. , 53 тис. км ,https://auto.ria.com/uk/auto_audi_q5_31918695.html
Volkswagen,Jetta,10 600,2016,Стрий,Автомат, Бензин, 1.4 л. , 172 тис. км ,https://auto.ria.com/uk/auto_volkswagen_jetta_31905040.html
Mitsubishi,Colt,6 400,2010,Київ,Ручна/Механіка, Бензин, 1.3 л. , 187 тис. км ,https://auto.ria.com/uk/auto_mitsubishi_colt_31887873.html
Volkswagen,Passat B8,23 200,2015,Київ,Автомат, Дизель, 2 л. , 110 тис. км ,https://auto.ria.com/uk/auto_volkswagen_passat_b8_31640034.html
Hyundai,Sonata LPI,9 400,2014,Бровари,Автомат, Газ, 2 л. , 345 тис. км ,https://auto.ria.com/uk/auto_hyundai_sonata_31662649.html
Volkswagen,Atlas,28 900,2017,Калуш,Автомат, Бензин, 3.6 л. , 79 тис. км ,https://auto.ria.com/uk/auto_volkswagen_atlas_31837991.html
Opel,Zafira 125,6 300,2008,Львів,Ручна/Механіка, Дизель, 1.7 л. , 235 тис. км ,https://auto.ria.com/uk/auto_opel_zafira_31796021.html
Dodge,Journey Dodge Journey AWD,15 800,2018,Львів,Типтронік, Бензин, 3.6 л. , 91 тис. км ,https://auto.ria.com/uk/auto_dodge_journey_31782424.html
BMW,X5,18 200,2011,Київ,Автомат, Дизель, 3 л. , 286 тис. км ,https://auto.ria.com/uk/auto_bmw_x5_31780556.html
Jeep,Renegade Limited,14 600,2016,Одеса,Автомат, Бензин, 2.4 л. , 136 тис. км ,https://auto.ria.com/uk/auto_jeep_renegade_31543177.html
Kia,Rio X 1.6 AT (123 л.с.),17 736,2022,Дніпро,Автомат, Бензин, 1.6 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-kia-rio-x-1873013.html
Mercedes-Benz,Maybach S 580 EQ Boost 9G-Tronic (503 л.с.) 4Matic,318 738,2021,Київ,Автомат, Бензин, 4.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-mercedes-benz-maybach-1875710.html
Nissan,X-Trail New FL 2.0 MT (144 л.с.),24 425,2021,Біла Церква,Механічна, Бензин, 2.0 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-nissan-x-trail-1781013.html
Suzuki,SX4 1.6 АT (117 л.с.),19 567,2021,Хмельницький,Автомат, Бензин, 1.6 л. , без пробігу ,https://auto.ria.com/uk/newauto/auto-suzuki-sx4-1872654.html
Peugeot,3008,20 777,2018,Київ,Автомат, Дизель, 1.5 л. , 155 тис. км ,https://auto.ria.com/uk/auto_peugeot_3008_31773570.html
Subaru,Outback,23 500,2017,Київ,Варіатор, Бензин, 3.6 л. , 154 тис. км ,https://auto.ria.com/uk/auto_subaru_outback_31678069.html
Mazda,CX-5 CX5 AWD 2.2D,20 000,2014,Івано-Франківськ,Типтронік, Дизель, 2.2 л. , 104 тис. км ,https://auto.ria.com/uk/auto_mazda_cx_5_28209922.html
Ford,Focus SE,9 499,2016,Київ,Автомат, Бензин, 2 л. , 74 тис. км ,https://auto.ria.com/uk/auto_ford_focus_31946337.html
Nissan,Pathfinder Platinum,26 500,2017,Львів,Варіатор, Бензин, 3.5 л. , 67 тис. км ,https://auto.ria.com/uk/auto_nissan_pathfinder_31744995.html
Lexus,LX 570 MAXIMAL,43 900,2009,Дніпро,Автомат, Газ / Бензин, 5.7 л. , 118 тис. км ,https://auto.ria.com/uk/auto_lexus_lx_570_31913465.html
Mercedes-Benz,GLS 400 AMG,124 000,2021,Київ,Автомат, Дизель, 2.9 л. , 14 тис. км ,https://auto.ria.com/uk/auto_mercedes_benz_gls_400_31904635.html
